hour_index,datetime, global_horizontal_irradiance , direct_normal_irradiance , diffuse_horizontal_irradiance , dry_bulb_temperature , windspeed , albedo , solar_altitude_angle , solar_azimuth_angle , solar_incident_angle , horizon_elevation_angle , tracker_roll_angle , adjusted_ghi , poa_direct_irradiance , poa_diffuse_irradiance , poa_reflected_irradiance , shaded_direct_irradiance , shaded_diffuse_irradiance , shaded_reflected_irradiance , effective_direct_irradiance , effective_diffuse_irradiance , effective_reflected_irradiance , soiled_irradiance , total_irradiance , nameplate_power , avg_cell_temp , module_irradiance_derated_power , module_mpp_power , module_power , optimizer_input_power , optimizer_output_power , optimal_dc_power , optimal_dc_voltage , inverter_overpower_loss , inverter_underpower_loss , inverter_overvoltage_loss , inverter_undervoltage_loss , actual_dc_power , actual_dc_voltage ,ac_power ,pv_kw 
3500,5/26/2025 19:00,31.4,,28.62,13.4,4.37,0.2,5.42,301.75,83.23, -   ,,31.4,3.45,29.16,0.05,0.39,29.16,0,0.33,27.84,0,27.61,27.6,"23,166.06",14.05,"19,684.97","20,514.88","19,796.10", -   , -   ,"19,791.83",440.44, -   , -   , -   , -   ,"19,791.83",440.44,"18,841.92",18.748
3501,5/26/2025 20:00,0.35,,0.35,12.59,3.72,0.2,-0.95,314.2,87.12, -   ,,0.35, -   ,0.36,0, -   ,0.36, -   , -   ,0.34, -   ,0.33,0.33,279.8,12.59,11.76,11.62,11.59, -   , -   ,11.59,36.02, -   , -   , -   ,11.59, -   ,150, -   ,0
3502,5/26/2025 21:00, -   ,, -   ,11.45,3.09,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3503,5/26/2025 22:00, -   ,, -   ,10.22,2.65,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3504,5/26/2025 23:00, -   ,, -   ,9.03,3.48,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3505,5/27/2025 0:00, -   ,, -   ,8.11,3.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3506,5/27/2025 1:00, -   ,, -   ,7.21,2.64,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3507,5/27/2025 2:00, -   ,, -   ,6.41,2.76,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3508,5/27/2025 3:00,2.92,,2.92,6.36,2.84,0.2,0.87,49.51,85.58, -   ,,2.92, -   ,2.87,0, -   ,2.87,0, -   ,2.74,0,2.69,2.69,"2,255.55",6.43,755.96,743.75,739.79, -   , -   ,739.77,297.89, -   , -   , -   , -   ,739.77,297.89,703.98,0.701
3509,5/27/2025 4:00,50.45,,41.73,6.82,3.09,0.2,7.55,61.81,81.69, -   ,,50.45,9.48,41.92,0.08,9.48,41.92,0.01,8.29,40.03,0,47.36,47.4,"39,787.52",8.03,"35,729.56","38,030.10","36,815.27", -   , -   ,"36,800.89",462.77, -   , -   , -   , -   ,"36,800.89",462.77,"35,200.66",35.025
3510,5/27/2025 5:00,114.33,,97.55,7.49,3.3,0.2,15.05,73.84,74.96, -   ,,114.33,16.53,98.95,0.17,16.53,98.95,0.01,14.12,94.49,0,106.45,106.43,"89,345.10",10.17,"84,639.38","89,310.83","86,032.70", -   , -   ,"85,962.89",473.32, -   , -   , -   , -   ,"85,962.89",473.32,"83,028.95",82.614
