datetime,temperature_degC,base_load_kW,hvac_heating_kW,hvac_cooling_kW,equipment_kW,shore_power_kW,load_kw,ghi_W_m2,total_load_kWh
6/28/2025 9:00,23.3,400.5187672,0,0,210,0,610.5187672,635,610.5187672
6/28/2025 10:00,24.1,400.5187672,0,0.5,210,0,611.0187672,721,611.0187672
6/28/2025 11:00,25.5,400.5187672,0,7.5,210,0,618.0187672,759,618.0187672
6/28/2025 12:00,25,400.5187672,0,5,210,0,615.5187672,735,615.5187672
6/28/2025 13:00,25.3,400.5187672,0,6.5,210,0,617.0187672,684,617.0187672
6/28/2025 14:00,24.6,400.5187672,0,3,210,0,613.5187672,668,613.5187672
6/28/2025 15:00,24.8,400.5187672,0,4,210,0,614.5187672,604,614.5187672
6/28/2025 16:00,24.3,400.5187672,0,1.5,210,0,612.0187672,480,612.0187672
6/28/2025 17:00,23.7,400.5187672,0,0,210,0,610.5187672,376,610.5187672
6/28/2025 18:00,22.8,400.5187672,0,0,210,0,610.5187672,257,610.5187672
6/28/2025 19:00,22.6,400.5187672,0,0,210,0,610.5187672,138,610.5187672
6/28/2025 20:00,20.7,400.5187672,2.4,0,210,0,612.9187672,49,612.9187672
6/28/2025 21:00,17.1,400.5187672,31.2,0,210,0,641.7187672,7,641.7187672
6/28/2025 22:00,14.5,267.0125114,31.2,0,122,0,420.2125114,0,420.2125114
6/28/2025 23:00,12.8,267.0125114,39.36,0,122,0,428.3725114,0,428.3725114
6/29/2025 0:00,11.8,222.5104262,22.08,0,112,0,356.5904262,0,356.5904262
6/29/2025 1:00,10.8,222.5104262,24.48,0,112,0,358.9904262,0,358.9904262
6/29/2025 2:00,10.4,222.5104262,25.44,0,112,0,359.9504262,0,359.9504262
6/29/2025 3:00,9.9,222.5104262,26.64,0,112,0,361.1504262,0,361.1504262
6/29/2025 4:00,11.4,222.5104262,23.04,0,112,0,357.5504262,56,357.5504262
6/29/2025 5:00,13.9,222.5104262,17.04,0,112,0,351.5504262,151,351.5504262
6/29/2025 6:00,18.5,222.5104262,10,0,112,0,344.5104262,274,344.5104262
6/29/2025 7:00,20.4,222.5104262,2.4,0,112,0,336.9104262,407,336.9104262
6/29/2025 8:00,22.3,222.5104262,0,0,112,0,334.5104262,536,334.5104262
6/29/2025 9:00,22.6,222.5104262,0,0,112,0,334.5104262,649,334.5104262
6/29/2025 10:00,22.6,222.5104262,0,0,112,0,334.5104262,737,334.5104262
6/29/2025 11:00,23.1,222.5104262,0,0,112,0,334.5104262,792,334.5104262
6/29/2025 12:00,22.9,222.5104262,0,0,112,0,334.5104262,809,334.5104262
6/29/2025 13:00,23.6,222.5104262,0,0,112,0,334.5104262,788,334.5104262
6/29/2025 14:00,23.9,222.5104262,0,0,112,0,334.5104262,733,334.5104262
6/29/2025 15:00,24,222.5104262,0,0,112,0,334.5104262,646,334.5104262
6/29/2025 16:00,23.4,222.5104262,0,0,112,0,334.5104262,531,334.5104262
6/29/2025 17:00,22.8,222.5104262,0,0,112,0,334.5104262,401,334.5104262
6/29/2025 18:00,22.1,222.5104262,0,0,112,0,334.5104262,267,334.5104262
6/29/2025 19:00,20.6,222.5104262,1.6,0,112,0,336.1104262,145,336.1104262
6/29/2025 20:00,19.1,222.5104262,7.6,0,112,0,342.1104262,52,342.1104262
6/29/2025 21:00,15.9,222.5104262,20.4,0,112,0,354.9104262,8,354.9104262
6/29/2025 22:00,13.7,222.5104262,17.52,0,112,0,352.0304262,0,352.0304262
6/29/2025 23:00,12.1,222.5104262,21.36,0,112,0,355.8704262,0,355.8704262
6/30/2025 0:00,11.7,333.7656393,44.64,0,144,0,522.4056393,0,522.4056393
6/30/2025 1:00,10.9,333.7656393,48.48,0,144,0,526.2456393,0,526.2456393
6/30/2025 2:00,10.6,333.7656393,49.92,0,144,0,527.6856393,0,527.6856393
6/30/2025 3:00,9.8,333.7656393,53.76,0,144,0,531.5256393,0,531.5256393
6/30/2025 4:00,11.6,333.7656393,45.12,0,144,0,522.8856393,55,522.8856393
6/30/2025 5:00,15.3,333.7656393,27.36,0,144,0,505.1256393,146,505.1256393
6/30/2025 6:00,17,511.7739803,32,0,334,0,877.7739803,242,877.7739803
6/30/2025 7:00,18.9,511.7739803,16.8,0,334,0,862.5739803,361,862.5739803
6/30/2025 8:00,21.4,511.7739803,0,0,334,0,845.7739803,489,845.7739803
